timestamp,open,high,low,close,volume
2025-11-11 15:30:00,0.17652,0.1766,0.17532,0.17605,4502192.0
2025-11-11 15:45:00,0.17606,0.17634,0.17556,0.1763,639140.0
2025-11-11 16:00:00,0.17619,0.17708,0.17605,0.17664,1507487.0
2025-11-11 16:15:00,0.17664,0.17699,0.17579,0.17585,337454.0
2025-11-11 16:30:00,0.17586,0.17639,0.17549,0.17612,517454.0
2025-11-11 16:45:00,0.176,0.17667,0.17587,0.17597,508169.0
2025-11-11 17:00:00,0.17599,0.1769,0.17575,0.17658,119517.0
2025-11-11 17:15:00,0.17651,0.17657,0.17581,0.17585,98670.0
2025-11-11 17:30:00,0.176,0.17602,0.17434,0.1751,1198718.0
2025-11-11 17:45:00,0.17517,0.17593,0.17496,0.17571,705704.0
2025-11-11 18:00:00,0.17572,0.17628,0.17499,0.17562,1251047.0
2025-11-11 18:15:00,0.17547,0.17564,0.17472,0.17504,421303.0
2025-11-11 18:30:00,0.17522,0.17557,0.17467,0.17471,249743.0
2025-11-11 18:45:00,0.17467,0.17545,0.17467,0.17492,74091.0
2025-11-11 19:00:00,0.17489,0.17489,0.17347,0.17447,959220.0
2025-11-11 19:15:00,0.17457,0.17505,0.17457,0.17494,141949.0
2025-11-11 19:30:00,0.17505,0.17521,0.17437,0.1746,111511.0
2025-11-11 19:45:00,0.17445,0.17493,0.1742,0.17431,149626.0
2025-11-11 20:00:00,0.1743,0.17444,0.17379,0.17415,1449567.0
2025-11-11 20:15:00,0.1743,0.17458,0.17383,0.17383,278770.0
2025-11-11 20:30:00,0.17383,0.17383,0.17291,0.17313,2616327.0
2025-11-11 20:45:00,0.17314,0.17333,0.17258,0.17294,1619729.0
2025-11-11 21:00:00,0.17305,0.17373,0.1729,0.17351,360518.0
2025-11-11 21:15:00,0.17353,0.17363,0.17322,0.17329,126488.0
2025-11-11 21:30:00,0.17329,0.17329,0.17172,0.17195,1010627.0
2025-11-11 21:45:00,0.17207,0.17275,0.17197,0.17238,516048.0
2025-11-11 22:00:00,0.17234,0.1728,0.17172,0.17277,319999.0
2025-11-11 22:15:00,0.17285,0.17342,0.17234,0.17335,606236.0
2025-11-11 22:30:00,0.17331,0.17372,0.17312,0.17346,156961.0
2025-11-11 22:45:00,0.17346,0.17365,0.17307,0.1732,465593.0
2025-11-11 23:00:00,0.17323,0.17323,0.17271,0.17298,1248095.0
2025-11-11 23:15:00,0.17302,0.17329,0.17257,0.17269,653618.0
2025-11-11 23:30:00,0.17269,0.17269,0.17194,0.17235,760312.0
2025-11-11 23:45:00,0.17238,0.17247,0.17159,0.17203,2041517.0
2025-11-12 00:00:00,0.17207,0.17284,0.17138,0.1721,2167377.0
2025-11-12 00:15:00,0.172,0.17291,0.17199,0.17243,3383374.0
2025-11-12 00:30:00,0.17238,0.17247,0.17183,0.17235,1421616.0
2025-11-12 00:45:00,0.17246,0.1725,0.17157,0.17164,701486.0
2025-11-12 01:00:00,0.17159,0.17277,0.17142,0.17272,502414.0
2025-11-12 01:15:00,0.17268,0.17304,0.1721,0.17242,523622.0
2025-11-12 01:30:00,0.17251,0.17293,0.17234,0.17277,549462.0
2025-11-12 01:45:00,0.17286,0.17297,0.17259,0.17269,807038.0
2025-11-12 02:00:00,0.17268,0.17298,0.17251,0.17273,529853.0
2025-11-12 02:15:00,0.17276,0.17292,0.17207,0.17208,2047426.0
2025-11-12 02:30:00,0.17211,0.17214,0.17096,0.17132,929158.0
2025-11-12 02:45:00,0.17139,0.17203,0.17108,0.17182,914217.0
2025-11-12 03:00:00,0.17177,0.17204,0.17156,0.17166,252660.0
2025-11-12 03:15:00,0.17169,0.17214,0.1716,0.17193,636401.0
2025-11-12 03:30:00,0.17202,0.17202,0.17166,0.17195,428104.0
2025-11-12 03:45:00,0.17191,0.17192,0.1715,0.17153,67387.0
2025-11-12 04:00:00,0.17158,0.1721,0.17127,0.17207,2204898.0
2025-11-12 04:15:00,0.17212,0.17212,0.17154,0.17163,76071.0
2025-11-12 04:30:00,0.17159,0.17164,0.17118,0.17121,68842.0
2025-11-12 04:45:00,0.17124,0.17156,0.17108,0.17152,290131.0
2025-11-12 05:00:00,0.17163,0.17178,0.17124,0.17142,57271.0
2025-11-12 05:15:00,0.17134,0.17234,0.1713,0.172,252514.0
