timestamp,Open,High,Low,Close,Volume
2024-06-30 22:00:00,61940.0,62120.0,61940.0,62104.0,136.11944
2024-06-30 22:15:00,62104.0,62942.57,62080.91,62942.57,883.96253
2024-06-30 22:30:00,62942.56,62952.2,62714.13,62854.01,611.74447
2024-06-30 22:45:00,62854.01,62941.13,62734.63,62901.01,422.61879
2024-06-30 23:00:00,62901.0,63058.76,62825.01,62852.0,402.24367
2024-06-30 23:15:00,62852.0,62940.0,62826.0,62896.0,182.34126
2024-06-30 23:30:00,62896.0,62958.85,62864.0,62864.48,143.15061
2024-06-30 23:45:00,62864.48,62866.8,62762.32,62772.01,201.22264
2024-07-01 00:00:00,62772.01,62809.01,62573.32,62624.0,416.77792
2024-07-01 00:15:00,62624.0,62744.99,62621.4,62720.02,196.18162
2024-07-01 00:30:00,62720.02,62839.49,62684.0,62804.6,192.89394
2024-07-01 00:45:00,62804.6,62944.0,62797.04,62931.99,181.27297
2024-07-01 01:00:00,62931.98,63653.37,62901.71,63644.0,1135.4786
2024-07-01 01:15:00,63644.0,63650.0,63410.0,63488.0,471.96011
2024-07-01 01:30:00,63487.99,63663.0,63474.96,63617.78,392.69738
2024-07-01 01:45:00,63617.77,63730.0,63540.82,63640.82,570.26562
2024-07-01 02:00:00,63640.81,63818.33,63375.3,63527.49,1027.20191
2024-07-01 02:15:00,63527.49,63614.24,63513.51,63572.54,399.97999
2024-07-01 02:30:00,63572.54,63605.55,63349.6,63390.0,429.59248
2024-07-01 02:45:00,63389.99,63448.0,63288.53,63435.86,180.55793
2024-07-01 03:00:00,63435.86,63536.47,63376.4,63457.38,377.81124
2024-07-01 03:15:00,63457.38,63518.34,63395.99,63456.92,461.83632
2024-07-01 03:30:00,63456.92,63468.0,63340.0,63371.72,256.6094
2024-07-01 03:45:00,63371.72,63477.28,63371.71,63437.69,168.20585
2024-07-01 04:00:00,63437.69,63466.92,63364.01,63395.16,153.62747
2024-07-01 04:15:00,63395.16,63438.26,63340.0,63347.99,92.30793
2024-07-01 04:30:00,63347.99,63363.7,63223.25,63229.82,180.4943
2024-07-01 04:45:00,63229.81,63306.0,63223.2,63279.79,90.7231
2024-07-01 05:00:00,63279.79,63365.73,63262.0,63340.31,112.77185
2024-07-01 05:15:00,63340.31,63425.47,63320.0,63387.73,94.74246
2024-07-01 05:30:00,63387.73,63457.47,63375.57,63392.01,133.63637
2024-07-01 05:45:00,63392.01,63447.98,63392.0,63432.94,77.11424
2024-07-01 06:00:00,63432.94,63456.97,63381.32,63381.33,97.60886
2024-07-01 06:15:00,63381.33,63384.0,63293.75,63382.0,122.94334
2024-07-01 06:30:00,63381.99,63420.0,63344.17,63362.01,170.25058
