Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
17,876,888,57486.38,58296.0,57187.172,58296.0,11795.239540000044,1968.30046,0.012069600138328376,2024-07-10 01:00:00,2024-07-10 04:00:00,0 days 03:00:00,,57217.26508896154,57298.80579504104,21.04841993115505,24.36035875952086,154.95600100000001,240.3689215
17,923,923,57977.88,57749.91563999999,57749.91563999999,59470.0,-5842.766645880092,1967.37252588,-0.005927987633214737,2024-07-10 12:45:00,2024-07-10 12:45:00,0 days 00:00:00,,57725.051170606224,57725.051170606224,23.61173297977163,23.61173297977163,309.0723465,309.0723465
17,925,926,58214.86,57749.91563999999,57749.91563999999,59470.0,-9875.455305880147,1971.40118588,-0.009978708797719523,2024-07-10 13:15:00,2024-07-10 13:30:00,0 days 00:15:00,,57732.40513915936,57731.97364523738,26.158736554553112,28.278394158891697,320.0033585,355.262472
17,928,928,57760.0,57749.91563999999,57749.91563999999,59470.0,-2135.102685880136,1963.66856588,-0.002174416129501524,2024-07-10 14:00:00,2024-07-10 14:00:00,0 days 00:00:00,,57731.08224066349,57731.08224066349,32.2303266333646,32.2303266333646,392.339067,392.339067
17,962,962,57806.0,57708.38588,57708.38588,59091.81,-3623.1845999599723,1963.74455996,-0.0036869616628031525,2024-07-10 22:30:00,2024-07-10 22:30:00,0 days 00:00:00,,57694.22793781981,57694.22793781981,37.21283049545111,37.21283049545111,146.3169755,146.3169755
15,1471,1475,63710.0,63281.11196,63281.11196,64955.49,-8338.18727939997,1904.8666794,-0.008725147574321072,2024-07-16 05:45:00,2024-07-16 06:45:00,0 days 01:00:00,,62279.4836549893,62325.235976446405,33.59573300916732,34.82131517528808,354.21692,436.5557635
15,1476,1481,62899.64,62585.1418,62585.1418,64993.95,-6599.744727000027,1882.2717269999998,-0.006995000000000005,2024-07-16 07:00:00,2024-07-16 08:15:00,0 days 01:15:00,,62334.2189020539,62360.283798233206,36.17652844106435,41.83009323422102,471.96835699999997,577.6202165
14,1577,1608,65058.67,64525.78052,64525.78052,66128.63,-9274.635027279972,1814.1823072799998,-0.010182715547674104,2024-07-17 08:15:00,2024-07-17 16:00:00,0 days 07:45:00,,63931.45424296098,64210.26088955651,25.39070428559889,26.365042809962343,296.7722015,415.32943600000004
14,2061,2083,67246.0,66703.8082,66703.8082,68474.55,-9465.982514800007,1875.2973148,-0.010054748359753741,2024-07-22 09:15:00,2024-07-22 14:45:00,0 days 05:30:00,,67095.03979512185,67147.58657647943,33.214215076853925,19.64588524801984,194.37088250000005,273.39941250000004
13,2581,2582,68321.14,68122.67268,68122.67268,69399.99,-4353.84472483995,1773.76956484,-0.004902013237484007,2024-07-27 19:15:00,2024-07-27 19:30:00,0 days 00:15:00,,67550.29444467278,67554.29161437754,24.39350977396757,25.844660861065336,270.0848955,301.397511
