Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,"Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
15,62,62,62945.99,62726.47405990868,62726.47405990868,63575.46,-5177.826062268401,1885.0869608986302,-0.0054838823593246705,2024-07-01 13:30:00,2024-07-01 13:30:00,0 days 00:00:00,,62991.62958641127,62991.62958641127,21.106617682025608,21.106617682025608,164.67486767557767,164.67486767557767
15,66,78,62832.01,63460.3301,62554.133111725634,63460.3301,7530.416398499958,1894.3851015,0.00799000000000001,2024-07-01 14:30:00,2024-07-01 17:30:00,0 days 03:00:00,,62983.980783714425,63477.77048820855,18.048226674588847,31.40578517989206,184.44616893175242,203.30649162831435
15,99,132,62911.98,62657.37586442231,62657.37586442231,63310.17400000001,-5702.602371631694,1883.5403379663348,-0.006042942718415659,2024-07-01 22:45:00,2024-07-02 07:00:00,0 days 08:15:00,,63718.846613057045,63275.477985520345,23.147669638267562,17.911507577743386,165.3339886909468,112.08242746153797
16,165,207,62037.47,61718.0247329655,61718.0247329655,62624.240500000014,-7091.212188279418,1980.087915727448,-0.007144081822928368,2024-07-02 15:15:00,2024-07-03 01:45:00,0 days 10:30:00,,63272.79753561405,62334.16489859345,28.42849999871489,22.613117829776723,211.36968911659596,177.28535087321842
17,394,403,57050.0,56555.48682528516,56555.48682528516,58029.66500000001,-10338.01724618214,1931.2932760298477,-0.010659398098862882,2024-07-05 00:30:00,2024-07-05 02:45:00,0 days 02:15:00,,59104.23081916808,58623.516759750586,31.07640221322101,34.452033931409396,348.3786319663298,457.5869339749574
17,640,641,56872.01,56598.08961316467,56598.08961316467,57411.84200000001,-6585.638269624389,1928.9916934237995,-0.006811619396755918,2024-07-07 14:00:00,2024-07-07 14:15:00,0 days 00:15:00,,57993.44484010578,57970.67145286737,23.44689249186657,25.688787278764952,186.03857280281926,193.21724617404652
17,642,656,56846.01,57326.75800000001,56556.17413073893,57326.75800000001,6231.778944000116,1940.9370560000002,0.006448565730470906,2024-07-07 14:30:00,2024-07-07 18:00:00,0 days 03:30:00,,57943.52156937697,57225.630894907736,26.998711287119647,19.57403799757526,193.45530001875719,207.8015572628799
16,1031,1068,57560.3,57047.815306924254,57047.815306924254,58361.21200000001,-10033.484934122764,1833.7298449107882,-0.010894536831508358,2024-07-11 15:45:00,2024-07-12 01:00:00,0 days 09:15:00,,59253.45728141638,57642.456728607955,25.08880858023273,31.066695338974796,339.73933380879254,230.35716793042693
16,1251,1251,58775.99,59363.76,58551.93934364828,59363.76,7514.084000000065,1890.236,0.007990171667036264,2024-07-13 22:45:00,2024-07-13 22:45:00,0 days 00:00:00,,59063.61085275443,59063.61085275443,21.757319547686407,21.757319547686407,193.27635869392105,193.27635869392105
16,1309,1315,59625.99,60028.199,59390.16132668908,60028.199,4520.876976000041,1914.467024,0.00473878607298598,2024-07-14 13:15:00,2024-07-14 14:45:00,0 days 01:30:00,,60418.143749211034,60240.76697305831,25.811396547784586,22.33769980643663,158.41846443056895,181.13707770965553
15,1703,1703,63850.01,63461.959341144866,63461.959341144866,64484.340000000004,-7730.439422944215,1909.679540117173,-0.008071457282407282,2024-07-18 15:45:00,2024-07-18 15:45:00,0 days 00:00:00,,65324.84528009826,65324.84528009826,27.978630087555167,27.978630087555167,276.1446935769871,276.1446935769871
15,1704,1760,63538.12,64430.74650000001,63123.90295963452,64430.74650000001,11469.864502500086,1919.5329975000002,0.012034627928871784,2024-07-18 16:00:00,2024-07-19 06:00:00,0 days 14:00:00,,65338.51968843803,64487.50301732993,29.90071030679928,18.630379664365087,281.2057868929166,170.25904283946016
15,1770,1772,63538.63,64084.356,63234.326330132346,64084.356,6271.545210000036,1914.34479,0.006580296333112568,2024-07-19 08:30:00,2024-07-19 09:00:00,0 days 00:30:00,,64600.32999432062,64552.69214911686,23.114421187414663,21.102730260508796,218.52917658473592,219.90796348377705
14,1886,1886,66557.76,66409.5954023466,66409.5954023466,67223.3477,-3935.847342780326,1861.5429756328526,-0.004223879425265146,2024-07-20 13:30:00,2024-07-20 13:30:00,0 days 00:00:00,,66644.71763486479,66644.71763486479,11.035737922752961,11.035737922752961,113.31356045210606,113.31356045210606
14,1888,1900,66539.88,67205.2889,66366.15075508457,67205.2889,7443.292235399928,1872.4323646000003,0.007990151636882969,2024-07-20 14:00:00,2024-07-20 17:00:00,0 days 03:00:00,,66644.17046189627,66986.04905042534,11.347457549540628,21.08357045937002,114.77572304288739,157.79360592239294
