Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)"
15,64,71,62685.27,63099.757999999994,62478.026,63099.757999999994,4330.544579999963,1886.77542,0.0046055950943498115,2024-07-01 14:00:00,2024-07-01 15:45:00,0 days 01:45:00,,231.754917,276.2236165,19.098365605167825,21.268777973895666
16,134,134,62682.25,62601.16,62601.16,62844.42999999999,-3301.974559999944,2004.53456,-0.0032923739974234497,2024-07-02 07:30:00,2024-07-02 07:30:00,0 days 00:00:00,,145.77642749999998,145.77642749999998,21.558168690199892,21.558168690199892
16,205,207,62042.02,61860.657999999996,61860.657999999996,62404.744,-4884.2348480000155,1982.442848,-0.004920289152416432,2024-07-03 01:15:00,2024-07-03 01:45:00,0 days 00:30:00,,96.48551850000003,146.4956065,19.847472600902236,22.613117829776723
16,303,303,59609.67,59203.2,59203.2,60422.61,-8404.525920000018,1901.00592,-0.008812041234249394,2024-07-04 01:45:00,2024-07-04 01:45:00,0 days 00:00:00,,457.0367325000001,457.0367325000001,28.263370494478767,28.263370494478767
17,509,543,56311.11,56907.729999999996,56012.8,56907.729999999996,8217.819719999921,1924.72028,0.008584472229369927,2024-07-06 05:15:00,2024-07-06 13:45:00,0 days 08:30:00,,244.99407100000002,199.11616949999998,9.722766840092149,23.785950441021768
17,671,672,56371.11,56699.729999999996,56206.8,56699.729999999996,3664.335719999921,1922.20428,0.0038237522731057808,2024-07-07 21:45:00,2024-07-07 22:00:00,0 days 00:15:00,,160.297373,170.8498985,19.64169816036897,19.814196235391627
17,677,678,56422.78,56171.276000000005,56171.276000000005,56925.787999999986,-6189.66695199989,1914.098952,-0.006453032906212644,2024-07-07 23:15:00,2024-07-07 23:30:00,0 days 00:15:00,,178.50865900000002,191.38321500000004,23.759332521365536,25.598023631124118
17,739,888,56097.99,58983.508,54655.246,58983.508,47097.42053400006,1956.3854660000002,0.04938566429920216,2024-07-08 14:45:00,2024-07-10 04:00:00,1 days 13:15:00,,718.1905365,240.3689215,26.857895601382072,24.36035875952086
18,982,991,57379.49,58081.58599999999,57028.442,58081.58599999999,10559.428631999828,2078.299368,0.010223773756092843,2024-07-11 03:30:00,2024-07-11 05:45:00,0 days 02:15:00,,219.35627800000003,271.52768149999997,22.830843000093438,15.754210262117882
16,1642,1645,64131.99,64577.232,63909.384,64577.232,5064.52444800009,2059.347552,0.004935645658274532,2024-07-18 00:30:00,2024-07-18 01:15:00,0 days 00:45:00,,186.33403150000004,189.9114265,17.984851757610087,15.29989739902288
16,1700,1700,63995.4,63654.294,63654.294,64677.612,-7500.091103999996,2042.3951040000002,-0.007324834191207542,2024-07-18 15:00:00,2024-07-18 15:00:00,0 days 00:00:00,,316.95904300000007,316.95904300000007,22.219830467108864,22.219830467108864
16,1702,1703,63754.51,63494.178,63494.178,64275.174000000006,-6201.291008000035,2035.979008,-0.006079266988327581,2024-07-18 15:30:00,2024-07-18 15:45:00,0 days 00:15:00,,365.73528250000004,382.989662,26.06249620224524,27.978630087555167
15,1886,1900,66557.76,67184.78200000002,66244.264,67184.78200000002,7399.191870000394,2006.1381300000003,0.0074112989679944175,2024-07-20 13:30:00,2024-07-20 17:00:00,0 days 03:30:00,,86.47790050000002,137.77058000000002,11.035737922752961,21.08357045937002
15,1955,1956,66787.18,66601.30799999999,66601.30799999999,67158.95400000003,-4788.907320000046,2000.8273199999999,-0.00478026603309202,2024-07-21 06:45:00,2024-07-21 07:00:00,0 days 00:15:00,,102.99735350000002,106.18225500000001,25.217347441287117,27.761298181525902
15,2000,2000,66648.01,66458.26000000001,66458.26000000001,67027.50999999997,-4842.844049999781,1996.5940500000002,-0.004844199699285613,2024-07-21 18:00:00,2024-07-21 18:00:00,0 days 00:00:00,,389.63418900000005,389.63418900000005,20.98641438229808,20.98641438229808
15,2048,2049,67626.01,67505.2,67505.2,67867.62999999999,-3839.1181499999648,2026.96815,-0.0037846563770359935,2024-07-22 06:00:00,2024-07-22 06:15:00,0 days 00:15:00,,152.95547800000003,149.04526450000003,17.646503870442746,18.629659175010474
15,2082,2082,67003.54,66847.98,66847.98,67314.65999999999,-4341.172799999965,2007.7727999999997,-0.004319346709143936,2024-07-22 14:30:00,2024-07-22 14:30:00,0 days 00:00:00,,257.65654,257.65654,19.31954763806926,19.31954763806926
15,2083,2083,66918.18,66733.2,66733.2,67288.13999999998,-4779.470699999939,2004.7707,-0.004761506962681844,2024-07-22 14:45:00,2024-07-22 14:45:00,0 days 00:00:00,,273.39941250000004,273.39941250000004,19.64588524801984,19.64588524801984
15,2085,2094,66817.99,67356.744,66548.628,67356.744,6068.6889900000115,2012.6210100000003,0.00605494517269969,2024-07-22 15:15:00,2024-07-22 17:30:00,0 days 02:15:00,,290.08171350000003,312.93486700000005,20.257536524652306,14.276575513121601
15,2281,2290,66240.0,65937.006,65937.006,66846.018,-6527.565090000091,1982.6550899999997,-0.006569610597826127,2024-07-24 16:15:00,2024-07-24 18:30:00,0 days 02:15:00,,366.24525650000004,390.1012860000001,23.34674581605475,17.620979757453522
15,2581,2582,68321.14,68059.984,68059.984,68843.48199999999,-5963.056860000041,2045.71686,-0.005818654723852722,2024-07-27 19:15:00,2024-07-27 19:30:00,0 days 00:15:00,,270.0848955,301.397511,24.39350977396757,25.844660861065336
15,2906,2906,65818.36,65751.408,65751.408,65952.23400000003,-2977.8265200000715,1973.5465199999999,-0.003016206541761404,2024-07-31 04:30:00,2024-07-31 04:30:00,0 days 00:00:00,,120.41786550000002,120.41786550000002,19.377639922708976,19.377639922708976
15,2908,2912,65804.0,66461.592,65475.204,66461.592,7879.896120000063,1983.9838800000002,0.007983198711324666,2024-07-31 05:00:00,2024-07-31 06:00:00,0 days 01:00:00,,129.97098950000003,175.85787900000003,23.22558974718224,23.706110416491004
15,2967,2967,65706.0,65589.404,65589.404,65939.222,-3718.371060000075,1969.43106,-0.0037727361884760495,2024-07-31 19:45:00,2024-07-31 19:45:00,0 days 00:00:00,,353.6625665,353.6625665,17.703346647595442,17.703346647595442
15,3043,3043,64270.01,64062.812000000005,64062.812000000005,64684.37599999999,-5032.96232999995,1924.99233,-0.005220643687467885,2024-08-01 14:45:00,2024-08-01 14:45:00,0 days 00:00:00,,219.0570995,219.0570995,19.51636976131028,19.51636976131028
16,3142,3161,62856.0,62399.48,62399.48,63769.00999999999,-9308.40767999995,2004.08768,-0.009255687285223295,2024-08-02 15:30:00,2024-08-02 20:15:00,0 days 04:45:00,,750.5593670000001,408.8723925,24.068529126077532,37.70019058537961
16,3304,3304,60374.0,60248.0,60248.0,60625.969999999994,-3945.952,1929.9520000000002,-0.004084904097790451,2024-08-04 08:00:00,2024-08-04 08:00:00,0 days 00:00:00,,136.82984150000001,136.82984150000001,17.86924819663229,17.86924819663229
18,3500,3517,54992.01,54553.576,54553.576,55868.848,-9863.63254800002,1971.8205480000001,-0.009964712801005058,2024-08-06 09:00:00,2024-08-06 13:15:00,0 days 04:15:00,,587.7807730000001,555.1199435000001,16.33396268230646,13.984049592720687
18,3518,3531,55152.01,56803.378000000004,54326.326,56803.378000000004,27709.427016000038,2015.1969840000002,0.027912176038552287,2024-08-06 13:30:00,2024-08-06 16:45:00,0 days 03:15:00,,561.701315,838.1389545000003,14.155439143439061,20.51608227070823
18,3562,3567,55948.0,56765.91800000001,55539.056,56765.91800000001,12693.673476000224,2028.8505240000002,0.012604634339029329,2024-08-07 00:30:00,2024-08-07 01:45:00,0 days 01:15:00,,376.5146874999999,387.77838950000006,18.991082490831495,17.391677521347937
18,3712,3714,57266.73,58511.598000000005,56644.296,58511.598000000005,20323.61409600004,2084.0099040000005,0.019716328695562047,2024-08-08 14:00:00,2024-08-08 14:30:00,0 days 00:30:00,,509.183389,581.324235,22.15354644421861,22.589118928977527
17,3794,3806,60654.99,60086.46600000001,60086.46600000001,61792.03799999998,-11717.512751999835,2052.604752,-0.011363705706653144,2024-08-09 10:30:00,2024-08-09 13:30:00,0 days 03:00:00,,295.49710350000004,322.075932,16.822627150682614,28.159900397242197
17,4070,4087,58340.99,59894.89600000001,57564.051999999996,59894.89600000001,24406.391938000168,2010.010062,0.02460825765898053,2024-08-12 07:30:00,2024-08-12 11:45:00,0 days 04:15:00,,262.6505575,457.53200000000004,20.1264071746634,22.435090730284422
18,4174,4177,58992.51,58674.854,58674.854,59627.82200000001,-7835.820552000048,2118.012552,-0.007379298897436385,2024-08-13 09:30:00,2024-08-13 10:15:00,0 days 00:45:00,,189.96631149999996,213.0423465,17.960389608028766,20.938680078390327
18,4178,4192,58714.01,59479.41800000001,58331.306,59479.41800000001,11649.862296000187,2127.481704,0.011023170994452672,2024-08-13 10:30:00,2024-08-13 14:00:00,0 days 03:30:00,,220.38075200000003,288.3379385,22.804327645456407,21.58523852656856
18,4474,4474,58122.56,58002.898,58002.898,58361.85400000001,-4244.174243999939,2090.2582439999996,-0.0040567287125686455,2024-08-16 12:30:00,2024-08-16 12:30:00,0 days 00:00:00,,211.66065600000002,211.66065600000002,18.28272933160274,18.28272933160274
17,4606,4606,59257.47,59176.062,59176.062,59420.28600000001,-3397.3060440000527,2013.370044,-0.0033724276787382656,2024-08-17 21:30:00,2024-08-17 21:30:00,0 days 00:00:00,,68.15163249999999,68.15163249999999,20.384427935768457,20.384427935768457
17,4607,4618,59285.98,59660.73600000001,59098.602,59660.73600000001,4348.757828000144,2022.0941720000003,0.004314836053987992,2024-08-17 21:45:00,2024-08-18 00:30:00,0 days 02:45:00,,63.689192,61.505041000000006,20.926478506573286,18.53038764592467
17,4704,4708,59439.33,59297.94,59297.94,59722.11,-4422.16358999999,2018.53359,-0.004376349295996484,2024-08-18 22:00:00,2024-08-18 23:00:00,0 days 01:00:00,,95.273578,91.81804000000001,22.615662689743726,28.425764730931345
17,4865,4865,60388.01,60077.634,60077.634,61008.76200000001,-7324.307948000065,2047.9159479999998,-0.007134556081579821,2024-08-20 14:15:00,2024-08-20 14:15:00,0 days 00:00:00,,316.211645,316.211645,25.71432119178005,25.71432119178005
17,5056,5059,60816.0,60355.842,60355.842,61736.286,-9882.607314000052,2059.921314,-0.009558830603788527,2024-08-22 14:00:00,2024-08-22 14:45:00,0 days 00:45:00,,325.8703735,356.3150695,26.09566463660294,30.22421437441768
16,5279,5279,63955.99,63731.6,63731.6,64404.77,-5633.241439999991,2043.00144,-0.005504997889955234,2024-08-24 21:45:00,2024-08-24 21:45:00,0 days 00:00:00,,156.60277049999996,156.60277049999996,19.098982101913414,19.098982101913414
16,5318,5318,63967.0,63815.45,63815.45,64270.100000000006,-4469.319200000046,2044.5192,-0.004366821173417578,2024-08-25 07:30:00,2024-08-25 07:30:00,0 days 00:00:00,,107.14383199999999,107.14383199999999,16.789379114117708,16.789379114117708
16,5326,5326,63807.92,63784.104,63784.104,63855.582,-2422.5283839999825,2041.4723840000001,-0.002372871956960812,2024-08-25 09:30:00,2024-08-25 09:30:00,0 days 00:00:00,,111.78271500000002,111.78271500000002,23.11140901319122,23.11140901319122
16,5327,5341,63874.0,64079.90400000001,63771.047999999995,64079.90400000001,1247.2015360001524,2047.2624640000004,0.0012203728590665375,2024-08-25 09:45:00,2024-08-25 13:15:00,0 days 03:30:00,,111.93104200000003,105.39543400000001,24.277616747340723,22.079622525745624
17,5824,5826,59653.0,58899.2,58899.2,61160.600000000006,-14829.98740000005,2015.3874,-0.014623777513285164,2024-08-30 14:00:00,2024-08-30 14:30:00,0 days 00:30:00,,299.6678375,343.790341,20.29483870137316,21.02226091137604
17,5829,5830,58596.99,58001.738,58001.738,59787.494,-12101.462376000007,1982.1783759999998,-0.012148247341715055,2024-08-30 15:15:00,2024-08-30 15:30:00,0 days 00:15:00,,482.3184705,545.8085460000001,26.736503351389672,28.762331291598294
