Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)"
15,64,71,62685.27,63099.757999999994,62478.026,63099.757999999994,4330.544579999963,1886.77542,0.0046055950943498115,2024-07-01 14:00:00,2024-07-01 15:45:00,0 days 01:45:00,,231.754917,276.2236165,19.098365605167825,21.268777973895666
15,132,132,62866.01,62815.264,62815.264,62967.471999999994,-2646.409109999988,1885.2191100000002,-0.0028064016469313245,2024-07-02 07:00:00,2024-07-02 07:00:00,0 days 00:00:00,,135.5253705,135.5253705,17.911507577743386,17.911507577743386
15,134,134,62682.25,62601.16,62601.16,62844.42999999999,-3095.6011499999477,1879.25115,-0.0032923739974234497,2024-07-02 07:30:00,2024-07-02 07:30:00,0 days 00:00:00,,145.77642749999998,145.77642749999998,21.558168690199892,21.558168690199892
16,205,207,62042.02,61836.868,61836.868,62452.323999999986,-5264.494207999914,1982.062208,-0.00530335550003036,2024-07-03 01:15:00,2024-07-03 01:45:00,0 days 00:30:00,,96.48551850000003,146.4956065,19.847472600902236,22.613117829776723
16,302,302,60250.0,59856.814,59856.814,61036.372,-8212.685024000024,1921.709024,-0.00851938280497927,2024-07-04 01:30:00,2024-07-04 01:30:00,0 days 00:00:00,,267.86314300000004,267.86314300000004,24.864269412606305,24.864269412606305
17,491,492,56858.65,56354.946,56354.946,57866.058,-10487.599131999965,1924.6311320000002,-0.010850021870023239,2024-07-06 00:45:00,2024-07-06 01:00:00,0 days 00:15:00,,240.2955265,250.59,16.599227774848185,16.059130822178492
17,493,494,56505.46,56348.876000000004,56348.876000000004,56818.59799999998,-4580.45171199992,1918.5237120000002,-0.004768359305454611,2024-07-06 01:15:00,2024-07-06 01:30:00,0 days 00:15:00,,255.631986,263.583492,15.557612223270919,14.607554732623338
17,509,543,56311.11,56907.729999999996,56012.8,56907.729999999996,8217.819719999921,1924.72028,0.008584472229369927,2024-07-06 05:15:00,2024-07-06 13:45:00,0 days 08:30:00,,244.99407100000002,199.11616949999998,9.722766840092149,23.785950441021768
17,671,672,56371.11,56699.729999999996,56206.8,56699.729999999996,3664.335719999921,1922.20428,0.0038237522731057808,2024-07-07 21:45:00,2024-07-07 22:00:00,0 days 00:15:00,,160.297373,170.8498985,19.64169816036897,19.814196235391627
17,677,678,56422.78,56171.276000000005,56171.276000000005,56925.787999999986,-6189.66695199989,1914.098952,-0.006453032906212644,2024-07-07 23:15:00,2024-07-07 23:30:00,0 days 00:15:00,,178.50865900000002,191.38321500000004,23.759332521365536,25.598023631124118
17,739,889,56097.99,59019.611999999994,54637.194,59019.611999999994,47710.574765999925,1956.999234,0.0500286088325089,2024-07-08 14:45:00,2024-07-10 04:15:00,1 days 13:30:00,,718.1905365,287.3984995,26.857895601382072,27.638580187863443
17,1096,1105,57106.95,56822.938,56822.938,57674.944,-6765.012095999918,1936.808096,-0.0069683617843361795,2024-07-12 08:00:00,2024-07-12 10:15:00,0 days 02:15:00,,178.8807585,200.0212395,19.980206709499573,19.281804158008498
15,1505,1509,63513.9,64548.542,62996.594000000005,64548.542,13598.693369999997,1920.9366300000002,0.014273718949710164,2024-07-16 14:15:00,2024-07-16 15:15:00,0 days 01:00:00,,408.21052249999997,440.079577,17.08547807752329,16.051548126033815
